PubMed_IDs_R,PMC_IDs_R
"38261322, 38261226, 38261012, 38260913, 38260881, 38260878, 38260877, 38260751, 38260681, 38260613, 38260510, 38260444, 38260349, 38260033, 38259930, 38259105, 38259104, 38258334, 38258123, 38258017, 38260918, 38260273, 38259389, 38259178, 38258906, 38258020, 38257863, 38257292, 38257172, 38257141, 38256892, 38256689, 38256499, 38256249, 38255916, 38255819, 38255764, 38255652, 38255320, 38255263","10802141, 10801020, 10800370, 10799955, 10799603, 10799433, 10799401, 10798254, 10798135, 10798113, 10797964, 10797823, 10797287, 10796827, 10796338, 10795849, 10795375, 10794784, 10794567, 10794129, 10803162, 10801329, 10800556, 10800401, 10800370, 10800207, 10799955, 10799855, 10799458, 10799412, 10799411, 10799372, 10799094, 10798368, 10798135, 10797958, 10797915, 10797727, 10797287, 10797188"
"38219765, 38166631, 38156773, 38123984, 38123338, 38109123, 38085287, 38077747, 38053528, 38048672, 38044939, 38037086, 37980492, 37884352, 37798539, 37789460, 37789059, 37752945, 37749331, 37692784","10803162, 10803130, 10802895, 10802877, 10802828, 10802798, 10802562, 10802368, 10802225, 10802212, 10802203, 10802180, 10802127, 10802122, 10802103, 10802089, 10802069, 10802055, 10802033, 10801926, 10803068, 10802969, 10802918, 10802846, 10802187, 10802180, 10802141, 10802127, 10802117, 10802103, 10802047, 10802000, 10801950, 10801940, 10801856, 10801845, 10801647, 10801633, 10801599, 10801589"
"38084034, 38046818, 37967555, 37621247, 37119914, 37104181, 37032862, 36715169, 36674937, 35909674, 35185872, 35067963, 34732258, 34490139, 34395490, 34203196, 34021796, 33931271, 32523033, 32518197, 38189339, 37956735, 37498116, 37478288, 37384776, 36411353, 36299725, 35876802, 35875536, 35619036, 35086742, 34710062, 34455808, 34429170, 34242364, 34126224, 34098734, 34021796, 33651227, 33421192, 36271438, 35447933, 35223957, 34021796, 33842393, 33185493, 31297340, 29065706, 27092122","10802798, 10802141, 10801516, 10801350, 10801111, 10800578, 10800370, 10800337, 10800300, 10800207, 10800157, 10799955, 10799834, 10799603, 10799563, 10799433, 10799401, 10799372, 10799046, 10798865, 10802683, 10801996, 10801660, 10801599, 10801200, 10800980, 10800808, 10800657, 10800505, 10800451, 10800370, 10800207, 10799902, 10799778, 10799553, 10799094, 10799039, 10798254, 10798251, 10798037, 10797776, 10795830, 10795660, 10791837, 10791813, 10789151, 10786918, 10786404, 10784802, 10781618, 10778651, 10778503, 10775948, 10775587, 10772313, 10770759, 10766674, 10764694, 10752393, 10761154"
34099917,"10801052, 10800765, 10800157, 10798976, 10796784, 10795193, 10795159, 10794289, 10794261, 10793291, 10793199, 10792649, 10792506, 10792237, 10790212, 10789613, 10789610, 10786383, 10785305, 10783533, 10803190, 10803170, 10803164, 10803093, 10803090, 10803080, 10803042, 10803023, 10802992, 10802988, 10802922, 10802895, 10802845, 10802837, 10802832, 10802826, 10802811, 10802776, 10802772, 10802768"
"38247826, 38247306, 38239650, 38216767, 38211712, 38199990, 38182890, 38177905, 38151993, 38136224, 38134862, 38114134, 38102821, 38090581, 38090526, 38078655, 38065485, 38039961, 38020881, 38008363, 37169343, 36821422, 34893805, 34788601, 34350516, 33972436, 32828819, 32679063, 32457323, 32111634, 30327532, 30295722, 28981653, 28560286, 28480797, 28183530, 26635787, 26523550, 26487367, 26284294, 38257759, 38256252, 38255838, 38254271, 38248705, 38247538, 38246949, 38233832, 38232550, 38230964, 38219848, 38217861, 38216470, 38211864, 38211438, 38203400, 38202488, 38202278, 38197815, 38195222","10802926, 10802683, 10801111, 10801048, 10800910, 10800578, 10797923, 10797890, 10797776, 10797076, 10796816, 10796784, 10796451, 10796401, 10795895, 10795779, 10794546, 10794126, 10793611, 10788811, 10708069, 10764622, 10764339, 10695176, 10626288, 10556999, 10497558, 10335176, 10332028, 10305235, 10258567, 10589420, 10480187, 10412783, 10345664, 10344465, 10179114, 9962127, 10173809, 10093825"
"38249486, 37711678, 37442611, 36225237, 36168737, 35311576, 34925289, 34873551, 34517500, 34020940, 33531404, 32615090, 32576653, 31907203, 31696976, 30847267, 30713528, 29879998, 28668337, 24557506","10801814, 10794705, 10791616, 10790752, 10770845, 10770216, 10767926, 10766395, 10760167, 10745641, 10721710, 10704631, 10702245, 10696587, 10692603, 10691087, 10790575, 10784697, 10776411, 10773735, 10803130, 10803017, 10802858, 10802778, 10802555, 10802229, 10802164, 10802150, 10802039, 10801946, 10801944, 10801826, 10801788, 10801744, 10801661, 10801655, 10801607, 10801509, 10801501, 10801380"
"35176384, 30277213, 15223146, 14770302, 9761735, 9568899, 1331321, 2557831, 4093441, 429261","10748089, 10705352, 10703040, 10652793, 10613577, 10570328, 10458394, 10407432, 10384725, 10383035, 10685026, 10674737, 10235996, 10225595, 10424059, 10413862, 9949771, 9896928, 10128170, 10063791, 10803166, 10802918, 10802857, 10802846, 10802810, 10802683, 10802212, 10802203, 10802180, 10802175, 10802164, 10802158, 10802151, 10802131, 10802047, 10802021, 10802000, 10801958, 10801940, 10801852"
"38256661, 38214421, 38201474, 38196128, 38171775, 38132121, 38103007, 38103006, 38074650, 38061593, 38041547, 37999101, 37950236, 37939189, 37894458, 37857525, 37835378, 37833968, 37823218, 37776617","10797146, 10796816, 10794784, 10794555, 10789753, 10788410, 10787224, 10781769, 10778975, 10776602, 10774906, 10774320, 10768273, 10768168, 10766395, 10765515, 10763075, 10758921, 10755504, 10743506"
"38260599, 38259918, 38259490, 38257969, 38253675, 38252628, 38248942, 38247864, 38247820, 38246927, 38243831, 38240082, 38238886, 38237986, 38236791, 38236788, 38235622, 38235135, 38234811, 38234808, 33259205","10802798, 10802683, 10802103, 10801873, 10801737, 10801732, 10801670, 10801662, 10801516, 10801329, 10801243, 10801200, 10801048, 10801044, 10801034, 10800980, 10800910, 10800820, 10800816, 10800802"
"38260058, 38257161, 38255683, 38255641, 38254678, 38253929, 38244075, 38243955, 38243954, 38239403, 38235661, 38235595, 38227209, 38227168, 38226866, 38226553, 38225709, 38225565, 38222790, 38219182, 37803714, 37290656, 36155528, 33292949, 32619440, 32430404, 27912059, 38235595, 38214657, 38212002, 38164418, 38107122, 38104813, 38104165, 38059752, 37939738, 37842336, 37769095, 37739776, 37716292, 37693358, 37675425, 37655471, 37652264, 37637136, 37629267, 37626661","10802212, 10800550, 10800401, 10799939, 10796827, 10794014, 10793624, 10792175, 10791948, 10790450, 10789594, 10789445, 10785350, 10785269, 10784114, 10783424, 10781740, 10779195, 10778545, 10778523"
"34696417, 33101265, 32823573, 31956412, 31616409, 30710048, 30587531, 30487790, 24512815, 22491952, 19017975, 17709536, 16237109, 38260637, 38260519, 38239853, 38234840, 38234396, 38233524, 38231165, 38205245, 38185632, 38181044, 38168677, 38154666, 38117802, 38112053, 38110410, 38101220, 38095240, 38079306, 38077312, 38068925","10800928, 10800207, 10794189, 10786183, 10784103, 10776564, 10773754, 10769474, 10766654, 10759716, 10759424, 10758524, 10750682, 10748388, 10744736, 10725313, 10722681, 10719858, 10717641, 10713524"
"37951212, 37640732, 36993964, 36725933, 35493512, 35436416, 35098159, 34584693, 34199200, 33010224, 32205883, 32047506, 31899563, 31227634, 31017342, 30504208, 29709039, 29247988, 27843891, 27799622, 37951212, 37164014, 36993964, 33010224, 32205883, 30761099, 17108271, 11642611, 10946420","10803171, 10802969, 10802811, 10802668, 10801992, 10801988, 10801916, 10801827, 10801734, 10801670, 10801599, 10801440, 10801386, 10801343, 10801286, 10801252, 10801082, 10801004, 10800982, 10800976, 10800808, 10799925, 10797776, 10797485, 10794557, 10791622, 10791616, 10790785, 10782763, 10782663, 10780176, 10779485, 10778935, 10773633, 10770624, 10770264, 10769429, 10767988, 10767833, 10767790"
"33382950, 33382950, 38214802, 38194811, 38176639, 38161012, 38159754, 38157803, 38152123, 38151562, 38142738, 38139382, 38134985, 38099485, 38072206, 38064669, 38053727, 38051435, 38037846, 38034657, 38004120, 38001551","10802212, 10800550, 10796827, 10794014, 10792175, 10790450, 10790212, 10789445, 10784114, 10783424, 10778545, 10778523, 10773855, 10772529, 10771654, 10768935, 10750280, 10757218, 10751935, 10748144, 10776763, 10693315, 10731169, 10705678, 10669250, 10636641, 10585062, 10580657, 10525198, 10439624, 10406561, 10376413, 10351475, 10675981, 10669395, 10301655, 10300525, 10266216, 10230072, 10501010"
"35216552, 34370660, 33188211, 32630095, 26900430, 26091682, 38231265, 38219876, 38173670, 38136849, 38136184, 38133228, 38131029, 38115159, 38032532, 37999473, 37982990, 37970497, 37958078, 37957747, 37928663, 37925064, 37893990, 37863204, 37845279, 37841685","10803162, 10803070, 10802180, 10802069, 10801996, 10801990, 10801988, 10801732, 10801599, 10801581, 10801111, 10801052, 10801022, 10800980, 10800978, 10800944, 10800916, 10800846, 10800778, 10800703, 10802969, 10800157, 10794945, 10794505, 10794284, 10791622, 10790752, 10790581, 10786629, 10785534, 10783051, 10781722, 10780761, 10778851, 10773886, 10773624, 10769841, 10761180, 10757257, 10753781"
"38259413, 38229819, 38222689, 38187913, 38187911, 38176280, 38173715, 38173110, 38166726, 38161555, 38147615, 38144533, 38140934, 38130477, 38115019, 38110887, 38094039, 38064861, 38051169, 38044993, 33443161","10749762, 10734493, 10642346, 10438834, 10665598, 10632069, 10269714, 10242440, 10227522, 10222030, 10561484, 10134792, 9993121, 10161951, 10084625, 10082668, 10073628, 9888269, 10030841, 9973266"
"38257165, 38257101, 38248817, 38243562, 38242132, 38238389, 38238000, 38217406, 38216767, 38201877, 38196946, 38194146, 38189273, 38188664, 38183445, 38179333, 38172624, 38172371, 38170702, 38167140, 38257101, 38217406, 38111204, 38104514, 38086952, 38014964, 38010080, 37960297, 37932773, 37845612, 37819042, 37772676, 37764826, 37753696, 37675422, 37626020, 37517290, 37461095, 37424334, 37327780","10802180, 10802055, 10801734, 10801670, 10801633, 10801589, 10801237, 10801156, 10801072, 10801024, 10801022, 10801008, 10800995, 10800990, 10800986, 10800978, 10800968, 10800934, 10800846, 10800824"
,"10802668, 10802082, 10801992, 10801440, 10800922, 10796020, 10795629, 10795328, 10794769, 10793669, 10793556, 10791618, 10791135, 10790675, 10790490, 10789724, 10789613, 10786237, 10785524, 10784706"
"38255710, 38151037, 38102837, 37997816, 37890493, 37881317, 37846989, 37841431, 37796746, 37712669, 37588796, 37583514, 37565604, 37063848, 37020297, 37010971, 36976399, 36959041, 36834525, 36834334, 38231222, 38222127, 38176008, 38162062, 38157006, 38147605, 38137996, 38131043, 38129996, 38069041, 38043750, 38037736, 38032415, 38007073, 38004670, 37971157, 37962209, 37958986, 37937550, 37928189","10803070, 10802843, 10801708, 10801599, 10801004, 10800846, 10800748, 10800505, 10800207, 10799913, 10799902, 10799860, 10799143, 10799112, 10798987, 10798966, 10798368, 10796172, 10796040, 10795779, 10802843, 10802728, 10802082, 10802000, 10801962, 10801734, 10801708, 10801642, 10801599, 10801591, 10801496, 10800908, 10800846, 10800824, 10800820, 10800548, 10800505, 10800401, 10800376, 10800231"
"38234925, 38203315, 38140019, 38067293, 37990414, 37853118, 37837401, 37834126, 37782471, 37773210, 37608695, 37515042, 37476482, 37424627, 37393866, 37379907, 37377603, 37351996, 37328089, 37287306","10747482, 10740453, 10761908, 10739175, 10709086, 10696046, 10682124, 10674458, 10569427, 10512847, 7534801, 10399156, 10383759, 10670231, 10660720, 10309056, 10300919, 10245978, 10218924, 10586544, 10801599, 10801290, 10801240, 10800376, 10799884, 10799534, 10798785, 10798107, 10798041, 10797541, 10797329, 10796816, 10796664, 10795475, 10794945, 10794775, 10794242, 10793385, 10793171, 10792632"
"38194267, 38152606, 38151171, 38136298, 38051955, 38039379, 38023563, 38001254, 37988925, 37947765, 37940417, 37934668, 37934086, 37867244, 37818799, 37796681, 37783390, 37759744, 37758653, 37748074","10800824, 10800509, 10800505, 10800401, 10799947, 10799834, 10798370, 10798041, 10795779, 10795475, 10794746, 10794555, 10794235, 10793199, 10792703, 10792057, 10790789, 10790211, 10787583, 10787489, 10797784, 10793145, 10786400, 10782214, 10780326, 10765587, 10764480, 10757501, 10752988, 10745914, 10745134, 10745028, 10734970, 10724188, 10722198, 10694575, 10690064, 10801943, 10800223, 10793144"
"38135009, 38064235, 38049505, 38014105, 38010429, 37922649, 37918651, 37838514, 37788844, 37545316, 37504634, 37498792, 37498787, 37468955, 37455690, 37201681, 37150300, 37005047, 36983854, 36958889","10802683, 10800207, 10799708, 10795342, 10794775, 10794746, 10794505, 10793145, 10791512, 10790177, 10779485, 10779093, 10777962, 10777265, 10773120, 10772200, 10770098, 10766654, 10763088, 10759404, 10802845, 10802125, 10801734, 10801615, 10801440, 10801349, 10801267, 10800736, 10800722, 10800621, 10800459, 10800207, 10800114, 10800102, 10800039, 10799415, 10799270, 10798818, 10798549, 10798021"
"38248039, 38108072, 37924526, 37875043, 37536185, 37372988, 37256147, 37128790, 37004045, 36974825, 36912943, 36875999, 36644179, 36627143, 36352838, 36338755, 36152592, 36118871, 36018370, 36012196, 38259475, 38258342, 38258042, 38256455, 38254829, 38254742, 38252910, 38248787, 38248113, 38246194, 38243078, 38238578, 38237304, 38236249, 38233101, 38232612, 38226313, 38225106, 38222108, 38217840","10801052, 10801004, 10800824, 10800505, 10800401, 10800207, 10799955, 10799425, 10799112, 10796709, 10795475, 10794746, 10794624, 10794555, 10793954, 10793165, 10792243, 10792063, 10792057, 10792043, 10792057, 10779485, 10791971, 10760068, 10751508, 10687470, 10608660, 10606932, 10582034, 10572190, 10536327, 10501248, 10423310, 10675691, 10625306, 10613183, 10587524, 10555929, 10487861, 10472071"
"32687462, 31195972, 30782206, 30007544, 28815303, 27388460","10794728, 10781479, 10763947, 10748866, 10743746, 10709544, 10767908, 10756120, 10746215, 10745678, 10734468, 10734416, 10720368, 10691062, 10684552, 10644618, 10636852, 10632748, 10626275, 10599764"
"38245564, 38236555, 38236535, 38224723, 38224627, 38190716, 38173486, 38172689, 38164977, 38142837, 38134478, 38110638, 38103106, 38101774, 38091080, 38090485, 38074634, 38068869, 38040838, 38006398","10795475, 10746178, 10734470, 10754466, 10740531, 10730369, 10645889, 10611514, 10577428, 10303177, 10266544, 10262782, 10221265, 10621663, 10452036, 10380345, 10299321, 10252007, 9995987, 9953403, 10795475, 10794237, 10790702, 10772551, 10770137, 10747268, 10746178, 10744307, 10741940, 10734528, 10734470, 10730444, 10719069, 10716368, 10714824, 10714774, 10703887, 10703180, 10694194, 10688821"
"38246328, 38246101, 38239193, 38238499, 38237652, 38237563, 38233375, 38218211, 38216100, 38215656, 38215062, 38199255, 38196698, 38196697, 38195573, 38184662, 38183745, 38183100, 38179723, 38178930, 38259490, 38249577, 38248469, 38244176, 38236766, 38236378, 38218187, 38201831, 38197509, 38193882, 38183898, 38176897, 38163742, 38157642, 38154057, 38149354, 38144564, 38142781, 38130122, 38111613","10800207, 10799563, 10797776, 10796730, 10795779, 10794815, 10794557, 10791926, 10786686, 10786629, 10781698, 10781068, 10780906, 10780757, 10780634, 10780463, 10779093, 10778919, 10778654, 10778640, 10773723, 10766591, 10705773, 10801215, 10767166, 10755822, 10746243, 10731997, 10731114, 10723812, 10709636, 10705146, 10680848, 10609686, 10599645, 10574285, 10569670, 10562559, 10525669, 10413983, 10731997, 10709636, 10705146, 10525669, 10362363, 10340020, 10318726, 10646503, 10527964, 10503645, 10443826, 10401411, 10123295, 10000335, 9885815, 9867202, 9854570, 9853865, 9820185, 9771676"
"38249811, 38241820, 38232374, 38225543, 38211385, 38203254, 38192631, 38185195, 38177192, 38167622, 38155726, 38106230, 38069019, 38049475, 38033945, 38024640, 38012597, 38002095, 38001251, 37999128, 38260569, 38238158, 38220274, 38217784, 38175854, 38146436, 38139221, 38113455, 38111162, 38105961, 38097545, 38085180, 38083674, 38083364, 38083144, 38076967, 38076810, 38060605, 38058211, 38035883","10801670, 10801044, 10800390, 10798156, 10798037, 10797064, 10797006, 10796451, 10795991, 10794282, 10794126, 10793104, 10792057, 10791833, 10790212, 10790209, 10785555, 10785309, 10784798, 10784722, 10799834, 10796631, 10791998, 10790738, 10783791, 10780757, 10779047, 10777040, 10774582, 10772689, 10767780, 10767459, 10766654, 10764504, 10761021, 10759424, 10758001, 10757607, 10753798, 10751328, 10801873, 10801670, 10801458, 10801263, 10801034, 10800657, 10800578, 10800390, 10800374, 10800207, 10799927, 10799778, 10798375, 10797727, 10797064, 10796998, 10795192, 10794945, 10794126, 10793665, 10800578, 10800207, 10794235, 10792149, 10791926, 10790211, 10789024, 10783776, 10780463, 10775812, 10773624, 10772641, 10767780, 10766776, 10763382, 10759424, 10753978, 10753134, 10746078, 10745951, 10803162, 10802069, 10801996, 10801814, 10800916, 10800846, 10800207, 10799955, 10799902, 10799726, 10799597, 10799534, 10799530, 10799412, 10799374, 10798365, 10798361, 10798037, 10797064, 10797044"
"38234398, 38051531, 37958363, 37942534, 37818072, 37792760, 37711170, 37619846, 37574809, 37538192, 37509233, 37497337, 37488178, 37414939, 37393385, 37363992, 37338560, 37318031, 37283769, 37232365, 38260837, 38260526, 38256934, 38255799, 38254908, 38254242, 38254091, 38252195, 38250682, 38249918, 38246899, 38246783, 38246773, 38245437, 38244927, 38244615, 38244135, 38244086, 38243328, 38240156","10801516, 10801350, 10800401, 10800207, 10800196, 10800157, 10800091, 10799834, 10798911, 10798867, 10796730, 10796567, 10796354, 10795779, 10795475, 10794624, 10794557, 10794555, 10794235, 10793679, 10061081, 10800300, 10800207, 10794781, 10781698, 10780634, 10779093, 10778579, 10774582, 10767989, 10766395, 10761021, 10758498, 10756490, 10741644, 10732203, 10731404, 10730217, 10729378, 10725171, 10722742"
"38259462, 38257995, 38250863, 38243906, 38243273, 38242867, 38240659, 38238608, 38236791, 38235622, 38235146, 38235135, 38233727, 38233562, 38232703, 38231344, 38231043, 38228228, 38227933, 38226976","10801516, 10801350, 10800310, 10800207, 10799834, 10797776, 10794845, 10794815, 10794781, 10794557, 10794235, 10791998, 10790789, 10790632, 10790211, 10785688, 10785269, 10785015, 10780634, 10780463, 10803166, 10801516, 10800401, 10799834, 10796354, 10794555, 10787309, 10785269, 10781698, 10779093, 10779047, 10778587, 10778579, 10777040, 10776137, 10772794, 10772689, 10768394, 10766654, 10763916, 10801516, 10801111, 10800401, 10800310, 10800300, 10800207, 10800091, 10799925, 10799834, 10799563, 10798865, 10798370, 10798365, 10797776, 10797652, 10796730, 10796631, 10796567, 10796511, 10796354"
"37584775, 37470485, 37060097, 36858028, 36848700, 36706470, 36662202, 36557593, 36468881, 36357504, 35902763, 35876989, 35674203, 35547135, 35536293, 35447706, 35250940, 35081988, 35069479, 34986784, 38261282, 38260960, 38260869, 38260209, 38260058, 38259967, 38259673, 38259389, 38259378, 38259358, 38259106, 38258024, 38258019, 38257938, 38257934, 38257864, 38257851, 38257850, 38257190, 38257189, 38257825, 38194969, 38187672, 38168091, 38146367, 38144446, 38140236, 38091634, 38070830, 38013154, 38005998, 37929242, 37903679, 37894933, 37864540, 37816026, 37766275, 37742526, 37693500, 37688720","10803162, 10802969, 10802926, 10802228, 10802069, 10802051, 10801996, 10801906, 10801814, 10801670, 10801599, 10801245, 10801243, 10801200, 10801052, 10801048, 10801044, 10801022, 10800980, 10800916, 10455757, 10390739, 10380448, 10354238, 10311743, 10272400, 10218917, 10530247, 10517015, 10420059, 10411465, 10298566, 10286402, 10228462, 10216810, 10182918, 10178071, 10154514, 10061522, 10058757, 10803166, 10802400, 10801350, 10801346, 10800401, 10800310, 10800275, 10800230, 10800196, 10800091, 10800089, 10799834, 10799607, 10799563, 10798911, 10798867, 10798864, 10798862, 10798861, 10798370, 9994512, 10534114, 10534045, 10534035, 10533555, 10533081, 10532785, 10532649, 10532519, 10532432, 10532357, 10531621, 10531294, 10531215, 10531012, 10530764, 10530753, 10530739, 10530267, 10530084"
"38257985, 38092662, 37894982, 37774026, 37693417, 37686049, 37531461, 37422479, 37308639, 37264902, 37120837, 37105971, 37086894, 36943070, 36877024, 36869962, 36768143, 36677403, 36607772, 36548227, 38214885, 38158131, 38025724, 37938243, 37852612, 37834480, 37639611, 37628835, 37459521, 37435044, 37420292, 37348798, 37205092, 37114596, 37087461, 37039368, 36938051, 36909481, 36891731, 36815547","10800401, 10798865, 10796730, 10794781, 10794555, 10792788, 10790738, 10790211, 10788454, 10785015, 10780634, 10779938, 10779047, 10778587, 10774582, 10774423, 10772586, 10770398, 10770264, 10770260, 10775659, 10761011, 10744114, 10724573, 10790098, 10761908, 10725559, 10691104, 10652397, 10652139, 10645063, 10643230, 10573999, 10563500, 10492839, 10478804, 10417189, 10372903, 10333528, 10647220, 10801350, 10801346, 10801111, 10800401, 10800300, 10800275, 10800091, 10799834, 10799607, 10798911, 10798867, 10798865, 10798864, 10798862, 10798861, 10798370, 10798365, 10797570, 10797270, 10796650, 10801111, 10798365, 10795779, 10794557, 10794126, 10793679, 10793199, 10792082, 10792057, 10785269, 10783735, 10782069, 10781979, 10778919, 10778654, 10776137, 10774290, 10773633, 10770137, 10769871, 10778688, 10320001, 10295603, 10222967, 9800831, 9797387, 9789086, 9625185, 9391519, 9336633, 9200807, 9190013, 8952780, 8773144, 8555781, 8566929, 8531495, 8648257, 8057268, 7894025, 10803166, 10802400, 10801350, 10801346, 10800401, 10800310, 10800275, 10800230, 10800196, 10800089, 10799834, 10799607, 10799563, 10798867, 10798864, 10798862, 10798861, 10798370, 10797570, 10797569"
"38261397, 38260136, 38254976, 38254755, 38253116, 38252266, 38252148, 38252063, 38248121, 38246597, 38246261, 38244615, 38244540, 38244219, 38243942, 38239530, 38238038, 38235757, 38235715, 38235618, 38257748, 38248688, 38248160, 38247877, 38245794, 38245791, 38243179, 38243140, 38241314, 38240712, 38238834, 38238771, 38238523, 38238326, 38237382, 38237235, 38236750, 38234381, 38233858, 38232878","10800207, 10800196, 10796631, 10785930, 10785688, 10782630, 10780214, 10778593, 10778076, 10777963, 10777093, 10775812, 10767459, 10763188, 10762984, 10759424, 10758498, 10757607, 10752988, 10746067, 10701916, 10476842, 10453613, 9556447, 9127299, 9063679, 8980842, 8955921, 8639680, 8390845, 7764749, 7607751, 7551078, 7474224, 7202192, 7109136, 7324000, 6778823, 6589555, 6420349, 10800207, 10799834, 10797776, 10794781, 10789030, 10781493, 10779093, 10778579, 10772641, 10771839, 10767989, 10763113, 10756490, 10758001, 10755504, 10753866, 10743981, 10742859, 10741936, 10740807"
"38244348, 38243282, 38224334, 38201563, 38193476, 38193376, 38184703, 38160327, 38157568, 38137485, 38133871, 38106152, 38091885, 38091773, 38046281, 38023131, 38006445, 37992549, 37984242, 37932908, 38251657, 38242989, 38239248, 38202141, 38201610, 38193866, 38186453, 38179750, 38146608, 38108390, 38108373, 38066805, 38001742, 37916344, 37907018, 37893479, 37778272, 37760801, 37746764, 37686518, 38261344, 38260302, 38259721, 38259607, 38259097, 38259096, 38259095, 38259082, 38259061, 38258976, 38258802, 38258746, 38258065, 38257525, 38256960, 38256877, 38256554, 38256402, 38256252, 38256174","10799834, 10795779, 10795475, 10794815, 10793097, 10779047, 10771839, 10758001, 10744055, 10732497, 10725898, 10725466, 10511045, 10719430, 10715437, 10701328, 10697212, 10688819, 10778007, 10763646, 10795779, 10774423, 10773713, 10766654, 10758001, 10732398, 10725898, 10706695, 10800223, 10789758, 10785547, 10764195, 10761908, 10704735, 10702034, 10692205, 10687997, 10659397, 10654701, 10611448, 10800401, 10800157, 10800091, 10797776, 10796730, 10796354, 10795779, 10795475, 10794845, 10794781, 10794555, 10793197, 10792904, 10792788, 10791998, 10787526, 10785015, 10781698, 10781068, 10780906, 10798865, 10766425, 10763113, 10744089, 10744055, 10740837, 10732398, 10728740, 10719430, 10707203, 10703180, 10779120, 10776250, 10761908, 10754533, 10752901, 10742272, 10740682, 10704251, 10703620"
"38260674, 38258859, 38258091, 38257962, 38257169, 38255824, 38249963, 38247858, 38246888, 38245666, 38241375, 38238757, 38237552, 38234864, 38232438, 38231175, 38223254, 38222950, 38222037, 38216924, 38175597, 38124090, 38033704, 37900618, 37900148, 37803789, 37751790, 37674059, 37660674, 37610132, 37553333, 37541493, 37520812, 37505554, 37453507, 37372086, 37369395, 37316482, 37214858, 37195665","10803162, 10803070, 10802967, 10802857, 10802846, 10802845, 10802810, 10802793, 10802683, 10802449, 10802158, 10802122, 10802117, 10802103, 10802082, 10802069, 10801996, 10801966, 10801734, 10801732, 10187751, 9994512, 10531636, 10531294, 10530547, 10530377, 10528333, 10527591, 10526863, 10526746, 10524266, 10522668, 10521322, 10518457, 10517455, 10516225, 10511344, 10510368, 10507087, 10471093"
"38260602, 38257179, 38242911, 38242815, 38238100, 38218377, 38212382, 38202419, 38194942, 38190487, 38185376, 38185038, 38183980, 38178557, 38163409, 38160938, 38159785, 38158148, 38151567, 38143800, 38261263, 38260939, 38260624, 38260602, 38260464, 38260204, 38260175, 38260141, 38259437, 38257736, 38257350, 38255934, 38255789, 38255286, 38255256, 38254648, 38254621, 38253565, 38253562, 38251035, 37042078, 34806426, 34158656, 32576096, 32562609, 31452911, 30506007, 29973704, 28838782, 28697128, 28385584, 27846137, 27501174, 27014754, 26640129, 25787269, 25579870, 25434010, 25179575, 24906040","10800401, 10795475, 10794557, 10792788, 10780813, 10780463, 10773713, 10766350, 10756490, 10757619, 10754492, 10754380, 10745369, 10741644, 10734970, 10727060, 10724573, 10716368, 10708184, 10706916, 10800207, 10799834, 10799563, 10797776, 10795779, 10795475, 10791998, 10785269, 10785090, 10783791, 10780906, 10780634, 10780463, 10780018, 10779964, 10779093, 10778640, 10778587, 10778484, 10771111, 10801516, 10797776, 10796567, 10794557, 10793097, 10785269, 10777963, 10770587, 10770137, 10766654, 10766425, 10758498, 10745996, 10744307, 10740837, 10732497, 10730149, 10722198, 10721521, 10719430, 10799834, 10799563, 10798867, 10796311, 10794555, 10793097, 10791998, 10791926, 10785269, 10783791, 10781531, 10780634, 10780214, 10771111, 10766350, 10763916, 10758498, 10756490, 10758062, 10758001, 10798867, 10780634, 10780214, 10767459, 10766654, 10744089, 10703801, 10800855, 10800223, 10780391, 10758782, 10758035, 10754816, 10745133, 10744317, 10743450, 10731684, 10727943, 10723938, 10687997, 10803166, 10800401, 10800275, 10800207, 10800091, 10799834, 10799607, 10799563, 10798867, 10798865, 10797776, 10796980, 10796730, 10796631, 10796567, 10795779, 10795475, 10794781, 10794557, 10794555"
"38230815, 38214704, 38203468, 38201073, 38200864, 38194259, 38147804, 38139055, 38136885, 38081585, 38078496, 38072238, 38043272, 38022527, 37999384, 37976941, 37959108, 37939952, 37913700, 37910392, 38223452, 38181823, 38152123, 38056459, 38016344, 38010168, 37978573, 37972724, 37950067, 37942583, 37850965, 37808673, 37712426, 37709134, 37680073, 37620226, 37536115, 37467886, 37459922, 37432375","10803166, 10800310, 10799834, 10798365, 10792821, 10791998, 10790738, 10784864, 10782214, 10781068, 10780763, 10780757, 10780634, 10780463, 10779964, 10779856, 10779093, 10778654, 10777755, 10772641, 10798865, 10773723, 10689341, 10688821, 10751463, 10730214, 10729600, 10669427, 10664928, 10626288, 10623161, 10611514, 10606932, 10603378, 10503834, 10404661, 10381979, 10675217, 10666382, 10288547"
