PubMed_IDs_TP,PubMed_IDs_FP,PubMed_IDs_R
"37967555, 36715169, 36674937, 35185872, 34732258, 34203196, 34021796, 33931271, 31843928, 31325428, 31004013, 30814299, 30792823, 28168224, 34021796, 32513301, 31010817","38084034, 37967555, 37872876, 37621247, 37267862, 37119914, 37032862, 36674937, 36349783, 36075181, 35993118, 35909674, 35576902, 35185872, 34490139, 34395490, 34392792, 34203196, 33931271, 32810865","38084034, 38046818, 37967555, 37621247, 37119914, 37104181, 37032862, 36715169, 36674937, 35909674, 35185872, 35067963, 34732258, 34490139, 34395490, 34203196, 34021796, 33931271, 32523033, 32518197, 38189339, 37956735, 37498116, 37478288, 37384776, 36411353, 36299725, 35876802, 35875536, 35619036, 35086742, 34710062, 34455808, 34429170, 34242364, 34126224, 34098734, 34021796, 33651227, 33421192, 36271438, 35447933, 35223957, 34021796, 33842393, 33185493, 31297340, 29065706, 27092122"
"38130997, 36893854, 36531991, 36269840, 34875227, 30157405, 29981781, 29798856, 22442383","34099917, 38257819, 38252220, 38250940, 38249123, 38247842, 38246987, 38246200, 38245915, 38243760, 38234838, 38234370, 38233686, 38232539, 38231166, 38226682, 38219844, 38215654, 38203434, 38195686, 38189894, 38261034, 38259497, 38257833, 38257819, 38251955, 38251887, 38249123, 38247842, 38247113, 38245915, 38245759, 38244527, 38243672, 38243312, 38239560, 38238790, 38237804, 38237381, 38234795, 38233951, 37945503, 37662932, 37063908, 36717913, 36516855, 36449599, 36153630, 34489558, 34099917, 32949467, 32929273, 32456359, 32400866, 31982447, 31649664, 31257468, 30542347, 27751964, 24692851, 24302539, 38193859, 38189779, 38168677, 38057803, 38051295, 38043051, 37716077, 37684239, 37611176, 37322122, 37292191, 37236326, 37158962, 37143680, 37133870, 36814918, 36690687, 36516855, 36460677, 36361868, 38232171, 38168955, 38141419, 38090571, 37992649, 37968302, 37762093, 37738462, 37679549, 37662951, 37662932, 37593098, 37572797, 37545384, 37534876, 37533580, 37491735, 37402742, 37392736, 37386390, 38233491, 38215193, 38214685, 38204987, 38199298, 38185757, 38169544, 38167328, 38164999, 38163006, 38153903, 38151510, 38150880, 38141168, 38110714, 38092919, 38092913, 38077333, 38057799, 38055798, 38260616, 38249123, 38248238, 38248227, 38243760, 38234370, 38215654, 38179776, 38165297, 38149648, 38139072, 38105775, 38064102, 38022591, 37995076, 37989894, 37957728, 37943848, 37886003, 37882753",34099917
"38084837, 37578396, 37167706, 35720495, 35169117, 35158099, 34977371, 34700029, 34549599, 34467981, 34289550, 34160355, 33906557, 33838572, 33767593, 33541282, 33290721, 33217450, 33141758, 32978808, 38251707, 38247538, 38235691, 38231482, 38224563, 38176135, 38161383, 38136224, 38116552, 38103512, 38078655, 38069446, 38030696, 38030136, 37996004, 37978573, 37967787, 37947686, 37934790, 37891900","38261396, 38261367, 38261364, 38261261, 38261251, 38261240, 38261068, 38260911, 38260894, 38260873, 38260847, 38260802, 38260714, 38260712, 38260644, 38260576, 38260209, 38260193, 38260171, 38260150, 38260472, 38260306, 38260270, 38258518, 38258347, 38258156, 38258048, 38256480, 38256192, 38256166, 38256139, 38256096, 38256087, 38256066, 38255960, 38255939, 38255775, 38254715, 38254695, 38253956, 38261243, 38261164, 38261125, 38261065, 38260601, 38260233, 38260014, 38259816, 38259714, 38259708, 38259699, 38259691, 38259681, 38259679, 38259676, 38259675, 38259649, 38259260, 38259160, 38259018","38247826, 38247306, 38239650, 38216767, 38211712, 38199990, 38182890, 38177905, 38151993, 38136224, 38134862, 38114134, 38102821, 38090581, 38090526, 38078655, 38065485, 38039961, 38020881, 38008363, 37169343, 36821422, 34893805, 34788601, 34350516, 33972436, 32828819, 32679063, 32457323, 32111634, 30327532, 30295722, 28981653, 28560286, 28480797, 28183530, 26635787, 26523550, 26487367, 26284294, 38257759, 38256252, 38255838, 38254271, 38248705, 38247538, 38246949, 38233832, 38232550, 38230964, 38219848, 38217861, 38216470, 38211864, 38211438, 38203400, 38202488, 38202278, 38197815, 38195222"
32615090,"34431719, 33927045, 31998276, 31396223","38249486, 37711678, 37442611, 36225237, 36168737, 35311576, 34925289, 34873551, 34517500, 34020940, 33531404, 32615090, 32576653, 31907203, 31696976, 30847267, 30713528, 29879998, 28668337, 24557506"
,"38260696, 38260577, 38260498, 38260479, 38260262, 38259919, 38259450, 38259175, 38258908, 38257903, 38256274, 38256115, 38255756, 38255163, 38254955, 38254933, 38254924, 38254911, 38254834, 38254536, 37627638","35176384, 30277213, 15223146, 14770302, 9761735, 9568899, 1331321, 2557831, 4093441, 429261"
"37870244, 37470692, 35530162, 35449204, 35069696, 34286518, 33122847, 33039730, 32587776, 32212793, 31117253, 31115521, 31113936, 31113922, 30663221, 28950390, 27138804, 25895606, 25797247, 25647738, 34913280, 34826601, 33310890, 33122847, 32913197, 32276600, 32189414, 32156781, 32081857, 31662324, 30668360, 30663221, 29360439, 28765329, 28686074, 28522751, 27903966, 27431492, 27336608, 27015562, 32913197, 25564254, 23243017, 20227039","38260385, 38259290, 38258066, 38256932, 38255255, 38254216, 38252934, 38246208, 38242891, 38239634, 38237741, 38237172, 38230788, 38225560, 38219877, 38219867, 38216399, 38214772, 38213142, 38204493, 38260385, 38259290, 38258066, 38256932, 38255255, 38254216, 38252934, 38246208, 38242891, 38239634, 38237741, 38237172, 38230788, 38225560, 38219877, 38219867, 38216399, 38214772, 38213142, 38204493","38256661, 38214421, 38201474, 38196128, 38171775, 38132121, 38103007, 38103006, 38074650, 38061593, 38041547, 37999101, 37950236, 37939189, 37894458, 37857525, 37835378, 37833968, 37823218, 37776617"
"37932372, 33259205, 32951817, 32943788, 27076635, 26604261, 26299961, 25739981, 25073739, 24677795, 37932372, 37832807, 36239538, 34975788, 34531089, 34419450, 33563785, 33508040, 33259205, 32123090, 28031489, 27482742, 27138431, 27076635, 26787847, 25301945, 25073739, 24677795, 24507752, 24274060, 33259205","38260893, 38260676, 38260660, 38260647, 38260620, 38260617, 38260586, 38260583, 38260582, 38260556, 38260505, 38260502, 38260498, 38260496, 38260478, 38260472, 38260471, 38260457, 38260432, 38260392, 38257979, 38245921, 38245596, 38237736, 38231728, 38214113, 38213303, 38211535, 38201957, 38196911, 38189321, 38188160, 38151632, 38147133, 38141354, 38138056, 38137237, 38112441, 38111221, 38110613, 38251051, 38236467, 38227686, 38225281, 38218945, 38216638, 38200409, 38193818, 38192976, 38180080, 38172611, 38150455, 38137009, 38134633, 38126997, 38113334, 38113333, 38113258, 38109551, 38102112","38260599, 38259918, 38259490, 38257969, 38253675, 38252628, 38248942, 38247864, 38247820, 38246927, 38243831, 38240082, 38238886, 38237986, 38236791, 38236788, 38235622, 38235135, 38234811, 38234808, 33259205"
"32619440, 31569518","38261369, 38261251, 38261247, 38261209, 38260951, 38260787, 38260335, 38260171, 38260169, 38260156, 38260153, 38260146, 38260129, 38259955, 38259859, 38259826, 38259760, 38259463, 38259322, 38259227, 21993625, 12064375, 9063711, 8761606, 8237444, 1978998, 5490934, 38261263, 38260883, 38260564, 38260197, 38259958, 38259104, 38259081, 38259075, 38258025, 38257988, 38257987, 38257986, 38257974, 38257969, 38257846, 38257834, 38257809, 38256358, 38255883, 38254416","38260058, 38257161, 38255683, 38255641, 38254678, 38253929, 38244075, 38243955, 38243954, 38239403, 38235661, 38235595, 38227209, 38227168, 38226866, 38226553, 38225709, 38225565, 38222790, 38219182, 37803714, 37290656, 36155528, 33292949, 32619440, 32430404, 27912059, 38235595, 38214657, 38212002, 38164418, 38107122, 38104813, 38104165, 38059752, 37939738, 37842336, 37769095, 37739776, 37716292, 37693358, 37675425, 37655471, 37652264, 37637136, 37629267, 37626661"
32823573,"38257844, 38256358, 38255886, 38255826, 38255331, 38253964, 38249787, 38249336, 38249142, 38248274, 38248079, 38247977, 38245721, 38245493, 38245131, 38241643, 38241279, 38239418, 38238868, 38237218, 38257844, 38256358, 38255886, 38255826, 38255331, 38253964, 38249787, 38249336, 38249142, 38248274, 38248079, 38247977, 38245721, 38245493, 38245131, 38241643, 38241279, 38239418, 38238868, 38237218","34696417, 33101265, 32823573, 31956412, 31616409, 30710048, 30587531, 30487790, 24512815, 22491952, 19017975, 17709536, 16237109, 38260637, 38260519, 38239853, 38234840, 38234396, 38233524, 38231165, 38205245, 38185632, 38181044, 38168677, 38154666, 38117802, 38112053, 38110410, 38101220, 38095240, 38079306, 38077312, 38068925"
32205883,"38257844, 38256358, 38255886, 38255826, 38255331, 38253964, 38249787, 38249336, 38249142, 38248274, 38248079, 38247977, 38245721, 38245493, 38245131, 38241643, 38241279, 38239418, 38238868, 38237218","37951212, 37640732, 36993964, 36725933, 35493512, 35436416, 35098159, 34584693, 34199200, 33010224, 32205883, 32047506, 31899563, 31227634, 31017342, 30504208, 29709039, 29247988, 27843891, 27799622, 37951212, 37164014, 36993964, 33010224, 32205883, 30761099, 17108271, 11642611, 10946420"
33382950,"38260626, 38260602, 38260149, 38258000, 38257143, 38255993, 38255744, 38254664, 38254456, 38254437, 38254385, 38251655, 38250717, 38248861, 38246557, 38243991, 38242883, 38240338, 38238100, 38236933","33382950, 33382950, 38214802, 38194811, 38176639, 38161012, 38159754, 38157803, 38152123, 38151562, 38142738, 38139382, 38134985, 38099485, 38072206, 38064669, 38053727, 38051435, 38037846, 38034657, 38004120, 38001551"
35650232,"38261090, 38260626, 38260602, 38260149, 38258000, 38257996, 38257143, 38255993, 38255944, 38255744, 38254664, 38254437, 38254385, 38251655, 38250937, 38250717, 38248861, 38248846, 38247003, 38246557","35216552, 34370660, 33188211, 32630095, 26900430, 26091682, 38231265, 38219876, 38173670, 38136849, 38136184, 38133228, 38131029, 38115159, 38032532, 37999473, 37982990, 37970497, 37958078, 37957747, 37928663, 37925064, 37893990, 37863204, 37845279, 37841685"
,"38261044, 38261005, 38259977, 38259698, 38259689, 38259413, 38259374, 38259082, 38258722, 38257154, 38256679, 38256593, 38256557, 38256491, 38256419, 38256377, 38256365, 38256350, 38256325, 38256252","38259413, 38229819, 38222689, 38187913, 38187911, 38176280, 38173715, 38173110, 38166726, 38161555, 38147615, 38144533, 38140934, 38130477, 38115019, 38110887, 38094039, 38064861, 38051169, 38044993, 33443161"
"38057706, 37933481, 37480336, 37424334, 37384590, 37242222, 37184522, 36860489, 36843227, 36275061, 36089004, 35782134, 35643532, 35372104, 35071037, 34991497, 34630385, 34206629, 33767128, 32987285, 38217406, 38189273, 38167140, 38014964, 38004243, 37907561, 37845612, 37803605, 37741825, 37652940, 37424334, 37327780, 37242222, 37184522, 37169786, 37122152, 37001916, 36876780, 36860489, 36843227","38260626, 38260602, 38260149, 38258000, 38255993, 38255744, 38254664, 38254456, 38254437, 38251655, 38248861, 38246557, 38243991, 38242883, 38240338, 38238100, 38236933, 38235602, 38233647, 38231752, 38261304, 38261160, 38260814, 38260811, 38260681, 38260644, 38260556, 38260498, 38260237, 38260149, 38260124, 38260101, 38259923, 38259919, 38259913, 38259870, 38259617, 38259478, 38259473, 38259271, 38261263, 38260883, 38260564, 38260197, 38259958, 38259104, 38259081, 38259075, 38258025, 38257988, 38257987, 38257986, 38257974, 38257969, 38257846, 38257834, 38257809, 38256358, 38255883, 38254416","38257165, 38257101, 38248817, 38243562, 38242132, 38238389, 38238000, 38217406, 38216767, 38201877, 38196946, 38194146, 38189273, 38188664, 38183445, 38179333, 38172624, 38172371, 38170702, 38167140, 38257101, 38217406, 38111204, 38104514, 38086952, 38014964, 38010080, 37960297, 37932773, 37845612, 37819042, 37772676, 37764826, 37753696, 37675422, 37626020, 37517290, 37461095, 37424334, 37327780"
,"38256021, 38253527, 38251231, 38243602, 38243295, 38239354, 38238848, 38238298, 38235893, 38235792, 38233602, 38231281, 38229084, 38227268, 38220437, 38219860, 38214770, 38213162, 38203523, 38203469",
,"37383139, 36677061, 36159425, 35762179, 35587262, 35463722, 35276075, 34684433, 34476755, 34472649, 33673069, 33204185, 32606938, 30753327, 29255770, 28723278, 27106356, 26925600, 25484071, 25137575","38255710, 38151037, 38102837, 37997816, 37890493, 37881317, 37846989, 37841431, 37796746, 37712669, 37588796, 37583514, 37565604, 37063848, 37020297, 37010971, 36976399, 36959041, 36834525, 36834334, 38231222, 38222127, 38176008, 38162062, 38157006, 38147605, 38137996, 38131043, 38129996, 38069041, 38043750, 38037736, 38032415, 38007073, 38004670, 37971157, 37962209, 37958986, 37937550, 37928189"
"34006895, 31463653, 30906666, 30852164, 25950488, 20930504","38260325, 38253527, 38237984, 38232128, 38228690, 38228552, 38216565, 38197629, 38194477, 38191794, 38190406, 38187191, 38185222, 38182800, 38177117, 38176614, 38176419, 38172511, 38170494, 38161589","38234925, 38203315, 38140019, 38067293, 37990414, 37853118, 37837401, 37834126, 37782471, 37773210, 37608695, 37515042, 37476482, 37424627, 37393866, 37379907, 37377603, 37351996, 37328089, 37287306"
"38228690, 38194267, 38177117, 38172511, 38136298, 38039379, 38023563, 37867244, 37783390, 37758653, 37657445, 37654972, 37612043, 37600811, 37553896, 37543704, 37464955, 37178367, 36993772, 36939388","38259279, 38258322, 38257396, 38257077, 38256307, 38255873, 38255833, 38255802, 38254294, 38254051, 38253137, 38253024, 38252352, 38252300, 38251162, 38251006, 38249526, 38248457, 38248349, 38248227","38194267, 38152606, 38151171, 38136298, 38051955, 38039379, 38023563, 38001254, 37988925, 37947765, 37940417, 37934668, 37934086, 37867244, 37818799, 37796681, 37783390, 37759744, 37758653, 37748074"
"38135009, 38064235, 38049505, 38014105, 38010429, 37922649, 37918651, 37838514, 37788844, 37545316, 37498792, 37498787, 37468955, 37455690, 37201681, 37150300, 37005047, 36983854, 36958889, 36705797","38260903, 38260690, 38260656, 38260563, 38260205, 38259958, 38258028, 38257951, 38257919, 38257879, 38257877, 38257828, 38257807, 38257788, 38257762, 38254473, 38254357, 38254354, 38254168, 38252736","38135009, 38064235, 38049505, 38014105, 38010429, 37922649, 37918651, 37838514, 37788844, 37545316, 37504634, 37498792, 37498787, 37468955, 37455690, 37201681, 37150300, 37005047, 36983854, 36958889"
"37875043, 33436641, 32810393, 27349976, 10510357","38258052, 38255949, 38253205, 38253189, 38250929, 38249555, 38248039, 38247999, 38247864, 38247218, 38244728, 38244613, 38243174, 38243020, 38241278, 38240686, 38239615, 38239138, 38235556, 38233858","38248039, 38108072, 37924526, 37875043, 37536185, 37372988, 37256147, 37128790, 37004045, 36974825, 36912943, 36875999, 36644179, 36627143, 36352838, 36338755, 36152592, 36118871, 36018370, 36012196, 38259475, 38258342, 38258042, 38256455, 38254829, 38254742, 38252910, 38248787, 38248113, 38246194, 38243078, 38238578, 38237304, 38236249, 38233101, 38232612, 38226313, 38225106, 38222108, 38217840"
"38053550, 37985238, 37942687, 37940330, 37894951, 37453492, 37154337, 36364738, 36068389, 35704120, 35266814, 34878098, 34851167, 34687291, 33566238, 32366032, 30782206","38261263, 38260892, 38260883, 38260564, 38260425, 38260404, 38260309, 38260197, 38259958, 38259673, 38259104, 38259099, 38259081, 38259075, 38259074, 38258025, 38258021, 38257988, 38257987, 38257986","32687462, 31195972, 30782206, 30007544, 28815303, 27388460"
"31681563, 31607540, 30550822, 29259703, 23272179, 22922255","38261295, 38261253, 38261247, 38260884, 38260869, 38260812, 38260810, 38260709, 38260707, 38260706, 38260688, 38260669, 38260655, 38260637, 38260625, 38260622, 38260613, 38260608, 38260607, 38260601","38245564, 38236555, 38236535, 38224723, 38224627, 38190716, 38173486, 38172689, 38164977, 38142837, 38134478, 38110638, 38103106, 38101774, 38091080, 38090485, 38074634, 38068869, 38040838, 38006398"
"33396408, 38176897, 38144564, 37878335, 37543249, 37214215, 37202387, 36644501, 36556399, 35784364, 35750016, 35733766, 35631304, 35587004, 35415672, 35128957, 34847376, 34463231, 34447287, 34253752, 33786436","38256226, 38253202, 38245444, 38243049, 38241809, 38239710, 38237848, 38236410, 38230786, 38230565, 38226525, 38224486, 38224119, 38221608, 38219879, 38218855, 38216068, 38215666, 38204734, 38203705, 38261392, 38261384, 38261349, 38261265, 38261250, 38261135, 38261034, 38260964, 38260915, 38260698, 38260661, 38260568, 38260476, 38260401, 38260352, 38260320, 38260314, 38260305, 38260299, 38260290","38246328, 38246101, 38239193, 38238499, 38237652, 38237563, 38233375, 38218211, 38216100, 38215656, 38215062, 38199255, 38196698, 38196697, 38195573, 38184662, 38183745, 38183100, 38179723, 38178930, 38259490, 38249577, 38248469, 38244176, 38236766, 38236378, 38218187, 38201831, 38197509, 38193882, 38183898, 38176897, 38163742, 38157642, 38154057, 38149354, 38144564, 38142781, 38130122, 38111613"
"38014110, 37398220, 37365468, 37285432, 37172777, 36976297, 36789089, 36698068, 36313803, 36187259, 35475000, 35042474, 34993942, 34366541, 32717786, 32692912, 32383753, 32303261, 32281982, 32178550, 38260318, 38243373, 38243306, 38238158, 38218939, 38217716, 38170778, 38152895, 38142637, 38129447, 38114489, 38102537, 38083579, 38082668, 38066073, 38014263, 38014110, 37981052, 37979921, 37844473","38260318, 38251799, 38251777, 38238582, 38234756, 38232374, 38230434, 38225104, 38212641, 38206848, 38200117, 38194342, 38192631, 38186746, 38186745, 38186666, 38185642, 38179056, 38172724, 38167908, 38051487, 37989240, 37507568, 37365365, 36804608, 36126658, 35907082, 35838341, 35548047, 35475000, 35351173, 35278181, 34295327, 33721760, 33270326, 32974824, 32166581, 31448421, 31394518, 31359303","38249811, 38241820, 38232374, 38225543, 38211385, 38203254, 38192631, 38185195, 38177192, 38167622, 38155726, 38106230, 38069019, 38049475, 38033945, 38024640, 38012597, 38002095, 38001251, 37999128, 38260569, 38238158, 38220274, 38217784, 38175854, 38146436, 38139221, 38113455, 38111162, 38105961, 38097545, 38085180, 38083674, 38083364, 38083144, 38076967, 38076810, 38060605, 38058211, 38035883"
"38251657, 38239248, 38201610, 38191437, 38190579, 38179750, 38155543, 38146608, 38130549, 38108390, 38108373, 38001742, 37916344, 37907018, 37893479, 37778272, 37738679, 37697033, 37689039, 37565277, 38255317, 38251657, 38248029, 38243963, 38242989, 38239248, 38234398, 38233195, 38219707, 38205326, 38202141, 38201610, 38193866, 38191610, 38191437, 38190579, 38186680, 38186453, 38179750, 38176309, 38078963, 37849254, 37720428, 37681031, 37573035, 37568650, 37510211, 37042152, 37003074, 36811859, 36742014, 36630898, 36544760, 36528470, 36382087, 36334496, 36225625, 36119532, 35938631, 35621626","38260844, 38260482, 38260436, 38259948, 38259665, 38259625, 38259087, 38257925, 38257573, 38255686, 38254973, 38254963, 38254959, 38254099, 38253649, 38253562, 38253539, 38251837, 38249912, 38249062","38234398, 38051531, 37958363, 37942534, 37818072, 37792760, 37711170, 37619846, 37574809, 37538192, 37509233, 37497337, 37488178, 37414939, 37393385, 37363992, 37338560, 37318031, 37283769, 37232365, 38260837, 38260526, 38256934, 38255799, 38254908, 38254242, 38254091, 38252195, 38250682, 38249918, 38246899, 38246783, 38246773, 38245437, 38244927, 38244615, 38244135, 38244086, 38243328, 38240156"
"38129234, 38101218, 37986944, 37862431, 37771591, 37709986, 37704621, 37586767, 37561398, 37528458, 37315535, 37172581, 36798389, 36720219, 36580918, 36472588, 36350986, 36171288, 36122933, 36026513, 38169329, 38091951, 37844197, 37738974, 37737298, 37712442, 37625402, 37553428, 37350632, 37322116, 37161048, 36988342, 36758176, 35738329, 35691410, 35514970, 35470232, 35154905, 35053490, 34873490","38257339, 38256142, 38252504, 38250813, 38244040, 38239269, 38238154, 38225892, 38222574, 38222317, 38219808, 38218845, 38204279, 38200616, 38198045, 38189371, 38189350, 38167844, 38157853, 38153371","38259462, 38257995, 38250863, 38243906, 38243273, 38242867, 38240659, 38238608, 38236791, 38235622, 38235146, 38235135, 38233727, 38233562, 38232703, 38231344, 38231043, 38228228, 38227933, 38226976"
"38009957, 37890080, 37515211, 37513003, 37218816, 37042671, 36951547, 36851500, 36639816, 36557677, 36517053, 36466675, 36464065, 36399658, 36343261, 36326101, 36244146, 36009001, 35948266, 35783604, 37429362, 37067276, 35758692, 34708158, 34016512, 32223302, 32204475, 32039379, 31630331, 31384000, 30791956, 30529464, 29286416, 27555307, 26425084, 25275396, 24586892, 22854321, 22753379, 21118402, 38169859, 38157864, 38157106, 38023855, 38018992, 37823635, 37773207, 37515965, 37458142, 37378961, 37317652, 37310733, 37046762, 37027929, 36882224, 36672796, 36291121, 36047038, 35954875, 35889107","38258024, 38257938, 38255710, 38248826, 38247810, 38244302, 38237983, 38231241, 38223252, 38212261, 38203444, 38180326, 38179905, 38166673, 38161698, 38156680, 38153623, 38140308, 38115672, 38107249, 38261031, 38260883, 38260690, 38260645, 38260642, 38260510, 38260425, 38260415, 38259683, 38259099, 38259033, 38258777, 38258084, 38257985, 38257944, 38257923, 38257809, 38257793, 38257758, 38257721","37584775, 37470485, 37060097, 36858028, 36848700, 36706470, 36662202, 36557593, 36468881, 36357504, 35902763, 35876989, 35674203, 35547135, 35536293, 35447706, 35250940, 35081988, 35069479, 34986784, 38261282, 38260960, 38260869, 38260209, 38260058, 38259967, 38259673, 38259389, 38259378, 38259358, 38259106, 38258024, 38258019, 38257938, 38257934, 38257864, 38257851, 38257850, 38257190, 38257189, 38257825, 38194969, 38187672, 38168091, 38146367, 38144446, 38140236, 38091634, 38070830, 38013154, 38005998, 37929242, 37903679, 37894933, 37864540, 37816026, 37766275, 37742526, 37693500, 37688720"
"38257988, 38257834, 38257809, 38257799, 38257762, 38240578, 38239028, 38236818, 38231218, 38230877, 38228603, 38187747, 38181740, 38178369, 38177994, 38172339, 38171848, 38168363, 38152703, 38140687, 38260415, 38257721, 38234449, 38214519, 38206524, 38194254, 38193669, 38159122, 38149011, 38142823, 38140696, 38139217, 38137966, 38128262, 38073886, 38066374, 38066362, 38060122, 38053255, 38048838","38260699, 38260375, 38260291, 38257830, 38257825, 38257721, 38248984, 38246564, 38245515, 38244748, 38240589, 38225547, 38217415, 38203811, 38203382, 38200316, 38199140, 38198069, 38197885, 38197632, 38260913, 38260893, 38260883, 38260876, 38260770, 38260518, 38260415, 38260390, 38260310, 38260268, 38259490, 38259189, 38259160, 38258383, 38258036, 38258023, 38257994, 38257886, 38257438, 38256777","38257985, 38092662, 37894982, 37774026, 37693417, 37686049, 37531461, 37422479, 37308639, 37264902, 37120837, 37105971, 37086894, 36943070, 36877024, 36869962, 36768143, 36677403, 36607772, 36548227, 38214885, 38158131, 38025724, 37938243, 37852612, 37834480, 37639611, 37628835, 37459521, 37435044, 37420292, 37348798, 37205092, 37114596, 37087461, 37039368, 36938051, 36909481, 36891731, 36815547"
"38235618, 38222194, 38218041, 38212892, 38188481, 38173302, 38172499, 38168015, 38152582, 38115336, 38110346, 38108823, 38103888, 38099497, 38092728, 38086335, 38084548, 38075206, 38058033, 38056921, 38226186, 37940770, 37608427, 37481754, 37386324, 37352862, 37285266, 37268174, 37240418, 37067391, 36995458, 36791563, 36765798, 36748436, 36733002, 36689097, 36646615, 36404497, 36372896, 36049836, 38171081, 38142627, 38125789, 38115331, 38091082, 38074478, 38039617, 38031161, 38030281, 37953374, 37951531, 37914154, 37900850, 37890269, 37886914, 37883950, 37866661, 37762979, 37740637, 37668410","38257748, 38248688, 38248160, 38247877, 38245794, 38245791, 38243179, 38243140, 38241314, 38240712, 38238771, 38238326, 38237382, 38237235, 38236750, 38234381, 38233858, 38232878, 38232436, 38231935","38261397, 38260136, 38254976, 38254755, 38253116, 38252266, 38252148, 38252063, 38248121, 38246597, 38246261, 38244615, 38244540, 38244219, 38243942, 38239530, 38238038, 38235757, 38235715, 38235618, 38257748, 38248688, 38248160, 38247877, 38245794, 38245791, 38243179, 38243140, 38241314, 38240712, 38238834, 38238771, 38238523, 38238326, 38237382, 38237235, 38236750, 38234381, 38233858, 38232878"
"38247094, 38175383, 38155448, 38093305, 38077052, 38000679, 37964706, 37962682, 37918013, 37900797, 37871463, 37853375, 37753035, 37749564, 37745574, 37740071, 37716506, 37676090, 37583001, 37552455, 38124373, 38077052, 38000679, 37964706, 37937226, 37902531, 37886914, 37882182, 37871463, 37745574, 37641830, 37583001, 37347353, 37325467, 37318097, 37298570, 37252460, 37240039, 37239344, 37143312, 38254772, 38234398, 38205077, 38200410, 38194971, 38187388, 38185557, 38185290, 38183539, 38156547, 38148328, 38133666, 38110279, 38085001, 38058823, 38056867, 38053280, 38042958, 38022667, 38022513","38259271, 38255158, 38253248, 38249526, 38247246, 38246885, 38243946, 38243218, 38239957, 38237377, 38236306, 38230793, 38229259, 38228471, 38228229, 38227616, 38224264, 38223805, 38223000, 38222816","38244348, 38243282, 38224334, 38201563, 38193476, 38193376, 38184703, 38160327, 38157568, 38137485, 38133871, 38106152, 38091885, 38091773, 38046281, 38023131, 38006445, 37992549, 37984242, 37932908, 38251657, 38242989, 38239248, 38202141, 38201610, 38193866, 38186453, 38179750, 38146608, 38108390, 38108373, 38066805, 38001742, 37916344, 37907018, 37893479, 37778272, 37760801, 37746764, 37686518, 38261344, 38260302, 38259721, 38259607, 38259097, 38259096, 38259095, 38259082, 38259061, 38258976, 38258802, 38258746, 38258065, 38257525, 38256960, 38256877, 38256554, 38256402, 38256252, 38256174"
"37926289, 37773951, 37608768, 37160919, 37074710, 36918961, 36698146, 36552852, 35736613, 35477286, 35410233, 34670619, 34134620, 34081399, 34059668, 33986744, 33906500, 33504454, 33353204, 33005629, 37803789, 37674059, 37553333, 37372086, 37316482, 37195665, 37083182, 37061790, 36985533, 36985325, 36575246, 37850127, 35379564, 35192333, 34746986, 34188048, 34081399, 33996285, 33756190, 33737410, 38258019, 38240740, 38178003, 38156000, 38117845, 38115005, 38091365, 38056648, 38049850, 38017392, 37951952, 37915946, 37902877, 37894178, 37883976, 37882672, 37854058, 37843794, 37787393, 37732806","38261367, 38261003, 38261002, 38260908, 38260888, 38260547, 38260536, 38259795, 38259778, 38259732, 38259425, 38259349, 38259105, 38259104, 38258786, 38257868, 38257783, 38257535, 38255687, 38255360, 38257686, 38257462, 38250018, 38247906, 38247460, 38245897, 38245466, 38243719, 38240506, 38240273, 38239195, 38238891, 38237025, 38232169, 38231901, 38231811, 38230732, 38228452, 38227894, 38226699","38260674, 38258859, 38258091, 38257962, 38257169, 38255824, 38249963, 38247858, 38246888, 38245666, 38241375, 38238757, 38237552, 38234864, 38232438, 38231175, 38223254, 38222950, 38222037, 38216924, 38175597, 38124090, 38033704, 37900618, 37900148, 37803789, 37751790, 37674059, 37660674, 37610132, 37553333, 37541493, 37520812, 37505554, 37453507, 37372086, 37369395, 37316482, 37214858, 37195665"
